,Year,Country,Type,Sex,Pdf
0,1900,AUSTRALIA,Unprovoked,M,1900.12.27-Houston.pdf
1,1900,AUSTRALIA,Unprovoked,M,1900.09.15-Hennessy.pdf
2,1900,AUSTRALIA,Unprovoked,M,1900.01.28-Duck.pdf
3,1900,CROATIA,Unprovoked,M,1900.07.31-Croatia.pdf
4,1900,SOUTH AFRICA,Unprovoked,M,1900.10.27-Layzell.pdf
5,1900,SOUTH AFRICA,Unprovoked,M,1900.11.14-Strathorn.pdf
6,1900,SOUTH AFRICA,Unprovoked,M,1900.00.00.a-Gruner.pdf
7,1900,USA,Unprovoked,M,1900.07.14-Uhlbrecht.pdf
8,1900,USA,Unprovoked,M,1900.09.13-Brown.pdf
9,1900,USA,Unprovoked,M,1900.09.05-Hartman.pdf
10,1900,USA,Unprovoked,M,1900.08.21-Burriss.pdf
11,1900,USA,Unprovoked,M,1900.00.00.b-Berndt.pdf
12,1901,AUSTRALIA,Unprovoked,M,1901.12.01-Quince.pdf
13,1901,AUSTRALIA,Unprovoked,M,1901.01.30-Thompson.pdf
14,1901,CYPRUS,Unprovoked,M,1901.09.23.R-Cyprus.pdf
15,1901,ITALY,Unprovoked,M,1901.07.17-Antonio.pdf
16,1901,PHILIPPINES,Unprovoked,M,1901.10.00-Dahkus.pdf
17,1901,PHILIPPINES,Unprovoked,M,1901.06.24-McK.pdf
18,1901,SOUTH AFRICA,Unprovoked,M,1901.07.30-Chandler.pdf
19,1901,USA,Unprovoked,M,1901.00.00-O'Brien.pdf
20,1901,YEMEN ,Unprovoked,M,1901.06.29.R-Aden.pdf
21,1902,AUSTRALIA,Unprovoked,M,1902.11.10-Dent.pdf
22,1902,AUSTRALIA,Unprovoked,M,1902.01.22-Ogier.pdf
23,1902,AUSTRALIA,Unprovoked,M,1902.01.19-Jones.pdf
24,1902,CROATIA,Unprovoked,M,1902.08.24.R-Croatia.pdf
25,1902,EGYPT,Unprovoked,M,1902.06.00-Giorgos.pdf
26,1902,ITALY,Provoked,M,1902.07.15-Genoa.pdf
27,1902,ITALY,Unprovoked,M,1902.08.28.R-Nicotera.pdf
28,1902,NEW ZEALAND,Provoked,M,1902.02.22.R-PovertyBay.pdf
29,1902,NICARAGUA,Unprovoked,M,1902.12.22.R-Wiseman.pdf
30,1902,PHILIPPINES,Unprovoked,M,1902.06.08-Apy.pdf
31,1902,SOUTH AFRICA,Unprovoked,M,1902.04.19-Sorenson.pdf
32,1902,SOUTH AFRICA,Unprovoked,M,1902.01.19R-soldier-Durban.pdf
33,1902,USA,Provoked,M,1902.07.06-Speerman.pdf
34,1902,USA,Unprovoked,M,1902.11.01.R-PortLavaca.pdf
35,1902,USA,Unprovoked,M,1902.08.08-HawaiianBoy.pdf
36,1903,AUSTRALIA,Unprovoked,M,1903.06.21-Price.pdf
37,1903,AUSTRALIA,Unprovoked,M,1903.03.20.R-Raymond-Suicide.pdf
38,1903,AUSTRALIA,Unprovoked,M,1903.03.12-Bartlett.pdf
39,1903,AUSTRALIA,Unprovoked,M,1903.01.10-James.pdf
40,1903,CRETE,Unprovoked,M,1903.00.00.b-Crete.pdf
41,1903,CUBA,Unprovoked,M,1903.10.04-Sailor.pdf
42,1903,FALKLAND ISLANDS,Unprovoked,M,1903.07.00-Martinez.pdf
43,1903,MEXICO,Unprovoked,M,1903.05.04-Mexicox3.pdf
44,1903,USA,Unprovoked,M,1903.09.16.R-McMillan.pdf
45,1903,USA,Unprovoked,M,1903.00.00.a-PhilKitchin.pdf
46,1904,AUSTRALIA,Unprovoked,M,1904.02.07-Grant.pdf
47,1904,CUBA,Unprovoked,M,1904.09.00-Mobile-sailor.pdf
48,1904,CUBA,Unprovoked,M,1904.08.00-boat-of-German-bark.pdf
49,1904,INDIAN OCEAN,Unprovoked,M,1904.10.11.R-Slettsten.pdf
50,1904,ITALY,Unprovoked,M,1904.07.01-Ancona.pdf
51,1904,NEW CALEDONIA,Unprovoked,M,1904.01.23-Smith.pdf
52,1904,NEW ZEALAND,Unprovoked,M,1904.02.04-Rakau.pdf
53,1904,PHILIPPINES,Unprovoked,M,1904.11.02-sailor.pdf
54,1904,PHILIPPINES,Unprovoked,M,1904.00.00.b-Hearn.pdf
55,1904,USA,Unprovoked,M,1904.00.00.c-Egan.pdf
56,1904,USA,Unprovoked,M,1904.07.28-ShrewsburyRiver.pdf
57,1904,USA,Unprovoked,M,1904.07.27-ChesterKennedy.pdf
58,1904,USA,Unprovoked,M,1904.00.00.a-Honolulu.pdf
59,1905,AUSTRALIA,Unprovoked,M,1905.12.29-Carroll.pdf
60,1905,AUSTRALIA,Unprovoked,M,1905.02.10-Blake.pdf
61,1905,AUSTRALIA,Unprovoked,M,1905.01.01-Boldner.pdf
62,1905,AUSTRALIA,Unprovoked,M,1905.09.29-Crotty.pdf
63,1905,AUSTRALIA,Unprovoked,M,1905.03.26-Owen.pdf
64,1905,ITALY,Unprovoked,M,1905.07.25.R-Naples.pdf
65,1905,MEDITERRANEAN SEA?,Unprovoked,M,1905.11.17.R-Syria.pdf
66,1905,PHILIPPINES,Unprovoked,M,1905.08.00.a-Abernathy.pdf
67,1905,SOUTH AFRICA,Unprovoked,M,1905.12.31-Suppeman.pdf
68,1905,SOUTH AFRICA,Unprovoked,M,1905.04.06-Anderson.pdf
69,1905,USA,Unprovoked,M,1905.08.00.b-Wright.pdf
70,1905,USA,Unprovoked,M,1905.07.29-Davis.pdf
71,1905,USA,Unprovoked,M,1905.07.00
72,1905,USA,Unprovoked,M,1905.05.22.R-Coxetter.pdf
73,1906,AUSTRALIA,Unprovoked,M,1906.04.02.R-Mills.pdf
74,1906,AUSTRALIA,Provoked,M,1906.04.16-Clarke.pdf
75,1906,AUSTRALIA,Unprovoked,M,1906.09.05.R-Smith.pdf
76,1906,AUSTRALIA,Unprovoked,M,1906.04.14-Charley.pdf
77,1906,AUSTRALIA,Unprovoked,M,1906.01.28-Dobson.pdf
78,1906,INDONESIA,Unprovoked,M,1906.04.10.R.a-b-Baxter.pdf
79,1906,INDONESIA,Unprovoked,M,1906.09.27.R.a&b-Munich-Swede.pdf
80,1906,INDONESIA,Unprovoked,M,1906.09.27.R.a&b-Munich-Swede.pdf
81,1906,INDONESIA,Unprovoked,M,1906.04.27.R-Aru-Islands.pdf
82,1906,JAMAICA,Unprovoked,M,1906.11.16-ZaceyAllen.pdf
83,1906,MOZAMBIQUE,Unprovoked,M,1906.07.00-CaptainSanna.pdf
84,1906,NEW ZEALAND,Unprovoked,M,1906.02.14.R-Thomas.pdf
85,1906,SOUTH AFRICA,Unprovoked,M,1906.01.20-Ramdayal.pdf
86,1906,USA,Provoked,M,1906.09.00-Neale.pdf
